code,testId,testType,spot,red_current,green_current,blue_current,duv,x,y,u,v,Lv,X,Y,Z
"4G-1-12-09-2-A",150522164256,"135 spots",104,23.4,21.528,21.762,-0.00716291042,0.2800409,0.273534775,0.195752874,0.430211216,8548.397999999999,8751.726000000001,8548.397999999999,13951.4736
"4G-1-12-09-2-A",150522164256,"135 spots",105,23.4,21.528,21.762,-0.008291679999999999,0.2812726,0.2730173,0.1969123,0.430049151,8569.259,8828.370000000001,8569.259,13989.6084
"4G-1-12-09-2-A",150522164256,"135 spots",106,23.4,21.528,21.762,-0.00636771275,0.280429065,0.275497645,0.195247009,0.431580484,8613.164000000001,8767.34,8613.164000000001,13883.5166
"4G-1-12-09-2-A",150522164256,"135 spots",91,23.4,21.528,21.762,-0.006990929,0.2781334,0.271399915,0.195163116,0.4284862,8291.975,8497.700000000001,8291.975,13762.9316
"4G-1-12-09-2-A",150522164256,"135 spots",107,23.4,21.528,21.762,-0.00703919027,0.282192528,0.2764658,0.196198523,0.432488054,8593.508,8771.514999999999,8593.508,13718.417
"4G-1-12-09-2-A",150522164256,"135 spots",108,23.4,21.528,21.762,-0.00639717747,0.280467749,0.275491923,0.195278928,0.431582481,8203.93,8352.106,8203.93,13223.167
"4G-1-12-09-2-A",150522164256,"135 spots",92,23.4,21.528,21.762,-0.008445271000000001,0.279836267,0.270908684,0.196678892,0.428409576,8669.655000000001,8955.357,8669.655000000001,14377.1191
"4G-1-12-09-2-A",150522164256,"135 spots",93,23.4,21.528,21.762,-0.00986503251,0.279937238,0.268433154,0.197789237,0.426737368,8687.793,9060.120000000001,8687.793,14616.915
"4G-1-12-09-2-A",150522164256,"135 spots",94,23.4,21.528,21.762,-0.00775229372,0.279405653,0.271633357,0.196047,0.4288354,8641.538,8888.799999999999,8641.538,14282.9063
"4G-1-12-09-2-A",150522164256,"135 spots",95,23.4,21.528,21.762,-0.008232099999999999,0.2794102,0.270753443,0.196414322,0.42824015,8661.857,8938.802,8661.857,14391.02
"4G-1-12-09-2-A",150522164256,"135 spots",96,23.4,21.528,21.762,-0.00696882047,0.2794981,0.2732015,0.195472986,0.429905981,8761.985000000001,8963.927,8761.985000000001,14345.5986
"4G-1-12-09-2-A",150522164256,"135 spots",97,23.4,21.528,21.762,-0.008307236000000001,0.279823184,0.27114597,0.196570441,0.428568423,8550.611000000001,8824.248,8550.611000000001,14160.2246
"4G-1-12-09-2-A",150522164256,"135 spots",98,23.4,21.528,21.762,-0.00630726432,0.280391246,0.2755619,0.19519192,0.431617528,8559.352000000001,8709.358,8559.352000000001,13792.7383
"4G-1-12-09-2-A",150522164256,"135 spots",99,23.4,21.528,21.762,-0.00585595751,0.2798368,0.275698125,0.194712967,0.4316248,8091.40771,8212.873,8091.40771,13044.5137
"4G-1-12-09-2-A",150522164256,"135 spots",82,23.4,21.528,21.762,-0.008026138,0.278711855,0.270230353,0.196091577,0.427779675,8208.596,8466.232,8208.596,13701.4629
"4G-1-12-09-2-A",150522164256,"135 spots",18,23.4,21.528,21.762,-0.000704304839,0.276848346,0.2816149,0.190088183,0.4350622,8456.335999999999,8313.205,8456.335999999999,13258.4717
"4G-1-12-09-2-A",150522164256,"135 spots",84,23.4,21.528,21.762,-0.009368753,0.279865056,0.26924926,0.197391778,0.427284777,8650.288,8991.347,8650.288,14485.8008
"4G-1-12-09-2-A",150522164256,"135 spots",83,23.4,21.528,21.762,-0.008287083000000001,0.2787312,0.269772768,0.196296111,0.4274711,8488.573,8770.456,8488.573,14206.6133
"4G-1-12-09-2-A",150522164256,"135 spots",110,23.4,21.528,21.762,-0.00715776859,0.279379,0.272698969,0.195587769,0.429550171,8464.874,8672.23,8464.874,13903.9883
"4G-1-12-09-2-A",150522164256,"135 spots",109,23.4,21.528,21.762,-0.0101243919,0.2833792,0.272315919,0.1988266,0.429894626,8386.453,8727.166999999999,8386.453,13683.1592
"4G-1-12-09-2-A",150522164256,"135 spots",75,23.4,21.528,21.762,-0.007615352,0.277696669,0.269666761,0.1955401,0.427243173,8555.009,8809.752,8555.009,14359.61
"4G-1-12-09-2-A",150522164256,"135 spots",112,23.4,21.528,21.762,-0.009120767,0.280233264,0.270177275,0.19728969,0.4279727,8250.816000000001,8557.911,8250.816000000001,13729.7988
"4G-1-12-09-2-A",150522164256,"135 spots",76,23.4,21.528,21.762,-0.00690842327,0.278155535,0.271582335,0.19510524,0.428612918,8559.195,8766.356,8559.195,14190.4717
"4G-1-12-09-2-A",150522164256,"135 spots",111,23.4,21.528,21.762,-0.009484315,0.281386524,0.27098152,0.197845861,0.42869246,8380.111999999999,8701.888000000001,8380.111999999999,13843.0332
"4G-1-12-09-2-A",150522164256,"135 spots",77,23.4,21.528,21.762,-0.008141569,0.278552681,0.269809633,0.1961428,0.4274693,8501.111000000001,8776.585999999999,8501.111000000001,14230.1162
"4G-1-12-09-2-A",150522164256,"135 spots",114,23.4,21.528,21.762,-0.00812638551,0.28251943,0.274879426,0.197100356,0.43148315,8359.77051,8592.121999999999,8359.77051,13460.6074
"4G-1-12-09-2-A",150522164256,"135 spots",113,23.4,21.528,21.762,-0.009642302,0.281974673,0.271435916,0.198110476,0.429088742,8241.089,8561.058000000001,8241.089,13558.94
"4G-1-12-09-2-A",150522164256,"135 spots",116,23.4,21.528,21.762,-0.008013119000000001,0.28291434,0.275575548,0.197115839,0.432005942,8332.352000000001,8554.249,8332.352000000001,13349.5791
