WaferID,DeviceID,TestType,sid,ResultType,DateTimeTested,devlist,CurrentString,CurrentSet,GreenSet,RedSet,BlueSet,Current,Volt,GreenCurr,RedCurr,BlueCurr,GreenVolt,RedVolt,BlueVolt,eqe,wpe,IntegrationTime,FilterPosition,photometric,Centroid,dominantWavelength,efficacy,PeakWavelength,PeakWavelength,PeakWavelengthIntensity,experimentId,mask,polish,recipeName,runNumber
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 3uA",3.000000106112566e-06,3.000000106112566e-06,-1.0,-1.0,0.00279999990016222,0.5065609812736511,0.00279999990016222,-1,-1,0.5065609812736511,-1,-1,-0.8035373091697693,-3.955907344818115,300,,-1,497.1300048828125,476.9925231933594,-1,585.2413330078125,585.2413330078125,4.724999946859043e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 350uA",0.0003499999875202775,0.0003499999875202775,-1.0,-1.0,0.3500800132751465,1.996320009231567,0.3500800132751465,-1,-1,1.996320009231567,-1,-1,-0.001233744900673628,-0.002497932640835643,300,,-1,306.7300109863281,476.9925231933594,-1,690.14404296875,690.14404296875,4.588999846788511e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 33uA",3.300000025774352e-05,3.300000025774352e-05,-1.0,-1.0,0.03274700045585632,1.445799946784973,0.03274700045585632,-1,-1,1.445799946784973,-1,-1,-0.08457500487565994,-0.1563365757465363,300,,-1,463.8900146484375,476.9925231933594,-1,404.2344665527344,404.2344665527344,5.981999784410164e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 300uA",0.0003000000142492354,0.0003000000142492354,-1.0,-1.0,0.3000670075416565,1.97409999370575,0.3000670075416565,-1,-1,1.97409999370575,-1,-1,-0.004851457197219133,-0.006834162399172783,300,,-1,445.8200073242188,476.9925231933594,-1,660.6419067382812,660.6419067382812,5.262999813737679e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 2uA",1.999999994950485e-06,1.999999994950485e-06,-1.0,-1.0,0.002000000094994903,0.4244000017642975,0.002000000094994903,-1,-1,0.4244000017642975,-1,-1,-1.153390049934387,-6.886991024017334,300,,-1,489.2300109863281,476.9925231933594,-1,404.2646484375,404.2646484375,4.64800020694156e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 250uA",0.0002500000118743628,0.0002500000118743628,-1.0,-1.0,0.2500390112400055,1.954470038414001,0.2500390112400055,-1,-1,1.954470038414001,-1,-1,-0.003018318908289075,-0.004703250713646412,300,,-1,407.0799865722656,476.9925231933594,-1,424.3339233398438,424.3339233398438,5.978999961797626e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 20uA",1.99999994947575e-05,1.99999994947575e-05,-1.0,-1.0,0.0197330005466938,1.286569952964783,0.0197330005466938,-1,-1,1.286569952964783,-1,-1,-0.06653141975402832,-0.1299353092908859,300,,-1,493.4100036621094,476.9925231933594,-1,401.0774841308594,401.0774841308594,6.211999803440449e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 200uA",0.000199999994947575,0.000199999994947575,-1.0,-1.0,0.2000170052051544,1.927899956703186,0.2000170052051544,-1,-1,1.927899956703186,-1,-1,-0.006402509286999702,-0.008592108264565468,300,,-1,479.1900024414062,476.9925231933594,-1,497.5791015625,497.5791015625,3.57000007333852e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 16uA",1.599999995960388e-05,1.599999995960388e-05,-1.0,-1.0,0.01584099978208542,1.192090034484863,0.01584099978208542,-1,-1,1.192090034484863,-1,-1,-0.1654926091432571,-0.3462949991226196,300,,-1,497.010009765625,476.9925231933594,-1,467.9305114746094,467.9305114746094,3.590999941849304e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 15uA",1.499999962106813e-05,1.499999962106813e-05,-1.0,-1.0,0.01485500019043684,1.167580008506775,0.01485500019043684,-1,-1,1.167580008506775,-1,-1,-0.200705274939537,-0.4215256869792938,300,,-1,505.5799865722656,476.9925231933594,-1,665.4542236328125,665.4542236328125,4.311000001422371e-09,"EXP598",,"",,
