WaferID,TimeRun,MaxAdcValue,radiometric
"UN0004977",2015-06-29T21:00:44.628Z,6051,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,6233,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5673,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5916,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,4585,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,4734,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5317,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5770,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5261,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5561,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5387,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5120,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5658,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5265,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,2897,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5189,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,2953,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,2261,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5593,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,4900,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9726,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8521,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,4054,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8801,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8474,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8421,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9981,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10015,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9314,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9973,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9873,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10522,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8269,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11493,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8401,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8215,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,7683,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10795,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10914,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,11233,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9595,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10903,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10718,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10302,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10181,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9601,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9031,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10714,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8511,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8930,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9945,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,8728,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10136,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10946,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10762,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9064,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10569,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10227,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10177,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8385,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,3690,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,3797,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7701,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9077,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10150,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9654,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,11874,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10711,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,11130,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,8207,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,9034,-0.0003406415053177625
"UN0004977",2015-07-09T00:04:32.378Z,10705,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,9877,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9330,-0.0003406415053177625
